created_at,text,url,replies,retweets,favorites,user
10/31/16 20:12,Usted y su familia merecen la tranquilidad de saber que estn cubiertos. El mercado de seguros abre maana. https://t.co/9iRCkLRGZD,https://twitter.com/BarackObama/status/793183793993519104,254,957,5039,BarackObama
10/31/16 18:08,"Speak up in support of quality, affordable health care for all. https://t.co/rGsSguMxvj",https://twitter.com/BarackObama/status/793152790881112064,329,914,4783,BarackObama
10/31/16 17:00,There's nothing to be scared of when searching for health insurance. Three in four people can #GetCovered for less_ https://t.co/BUmnRO9B3E,https://twitter.com/BarackObama/status/793135531471233024,622,1719,7273,BarackObama
10/31/16 15:33,Open enrollment begins tomorrowmake sure you and your loved ones #GetCovered. https://t.co/2aak7Bt0s3,https://twitter.com/BarackObama/status/793113673527009280,344,973,4563,BarackObama
10/30/16 22:21,"RT @OFA: Witch plan is best for you? Thanks to Obamacare, even pre-existing conditions can't stop you from comparing your options. #GetCove_",https://twitter.com/BarackObama/status/792853954518327296,195,550,2695,BarackObama
10/28/16 16:50,Senate leaders' obstruction of our Supreme Court nomination process is unacceptable. Say so: https://t.co/t3pYMO8Fp0 #DoYourJob,https://twitter.com/BarackObama/status/792045944384749569,719,1328,5313,BarackObama
10/28/16 15:07,Senate leaders should put the common good above politicsthe integrity of our nation's highest court depends on it._ https://t.co/iRVCEl1pzf,https://twitter.com/BarackObama/status/792020035430735872,739,3671,12865,BarackObama
10/27/16 22:17,Don't ghost on your health and well-beingyour chance to #GetCovered is coming up. Open enrollment starts November_ https://t.co/qwNLazuPiz,https://twitter.com/BarackObama/status/791765789795684353,476,1201,5905,BarackObama
10/27/16 21:31,Climate change is happening now. Denial is dangerous. https://t.co/0Nlf8Fst4u,https://twitter.com/BarackObama/status/791754307347492864,654,4351,10378,BarackObama
10/27/16 20:24,"If you're willing to work hard and play by the rules, you should be able to get ahead. https://t.co/394hdJttgO",https://twitter.com/BarackObama/status/791737295254675457,546,1972,8217,BarackObama
10/27/16 18:55,President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID,https://twitter.com/BarackObama/status/791714897348268032,1143,1781,7340,BarackObama
10/27/16 17:04,New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate,https://twitter.com/BarackObama/status/791687049417928704,233,1545,4747,BarackObama
10/27/16 15:27,Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C,https://twitter.com/BarackObama/status/791662543584362496,353,997,4714,BarackObama
10/26/16 19:32,"This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI",https://twitter.com/BarackObama/status/791361893986291712,471,2112,6882,BarackObama
10/26/16 17:33,"No one's too wrapped up in pre-existing conditions to #GetCovered. Thanks to Obamacare, you can find a plan that m_ https://t.co/C7H9TZdxeU",https://twitter.com/BarackObama/status/791331973314727936,479,1467,7163,BarackObama
10/26/16 16:26,Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH,https://twitter.com/BarackObama/status/791315070588379136,310,751,3625,BarackObama
10/26/16 15:01,DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb,https://twitter.com/BarackObama/status/791293617163804673,439,976,3815,BarackObama
10/25/16 19:55,"Women, the sick, survivorsthey all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV",https://twitter.com/BarackObama/status/791005180145786880,614,2243,9429,BarackObama
10/25/16 18:01,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A,https://twitter.com/BarackObama/status/790976567249731584,347,786,3146,BarackObama
10/25/16 16:24,"RT @SecBurwell: Most people shopping on @HealthCareGov will again find plans with premiums of less than $75/month, thanks to financial assi_",https://twitter.com/BarackObama/status/790952188948340736,212,411,1355,BarackObama
10/25/16 15:25,Be proud of the progress we've made togetherwear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E,https://twitter.com/BarackObama/status/790937285789306880,372,941,4845,BarackObama
10/24/16 21:32,Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl,https://twitter.com/BarackObama/status/790667378023501825,572,1758,6827,BarackObama
10/24/16 20:11,The four-week average of jobless claims fell to the lowest level since 1973a sign of a healthy labor market. https://t.co/Lv7DnRM2DY,https://twitter.com/BarackObama/status/790646938437685248,294,1343,4511,BarackObama
10/24/16 18:52,"Since 2010, America's uninsured rate has been cut in half. Help build on that progressjoin Team #Obamacare today: https://t.co/MhIICuE17A",https://twitter.com/BarackObama/status/790626992433397760,309,713,3289,BarackObama
10/24/16 17:06,"RT @OFA: It's working. It's saving lives. And we're not going back. Retweet to show your support. https://t.co/YOBeMMSYP8",https://twitter.com/BarackObama/status/790600480875352064,166,1474,2908,BarackObama
10/24/16 15:21,"Health care is a right, not a privilegeand #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW",https://twitter.com/BarackObama/status/790573868335308801,753,2718,11204,BarackObama
10/21/16 20:47,Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq,https://twitter.com/BarackObama/status/789568706837901315,601,840,3201,BarackObama
10/21/16 16:40,Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the_ https://t.co/1lSzxCHZVf,https://twitter.com/BarackObama/status/789506728316502016,553,2488,11904,BarackObama
10/21/16 14:55,"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm",https://twitter.com/BarackObama/status/789480358345453568,667,1633,7523,BarackObama
10/20/16 20:42,Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF,https://twitter.com/BarackObama/status/789205082210390018,459,957,4457,BarackObama
10/20/16 18:47,"There's still more work to do, but let's celebrate how far we've come. https://t.co/kUVWn68kJw",https://twitter.com/BarackObama/status/789176114597859330,396,1436,6752,BarackObama
10/20/16 17:52,LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O,https://twitter.com/BarackObama/status/789162509823455232,234,551,2600,BarackObama
10/20/16 17:29,"RT @WhiteHouse: Each day, @POTUS reads 10 letters from Americans. Today, we're sharing some of the letters written about #ACA: https://t.co_",https://twitter.com/BarackObama/status/789156519740788737,278,737,2927,BarackObama
10/20/16 16:54,Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O,https://twitter.com/BarackObama/status/789147820695486464,186,437,2217,BarackObama
10/20/16 15:35,There's a lot of misinformation floating around. Make sure you've got the factsjoin the @OFA Truth Team:_ https://t.co/SpfRFK5LWq,https://twitter.com/BarackObama/status/789127975140601856,304,998,3571,BarackObama
10/19/16 20:10,"From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob",https://twitter.com/BarackObama/status/788834727054630913,284,945,3307,BarackObama
10/19/16 18:07,"Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. https://t.co/yJlejtHjr0",https://twitter.com/BarackObama/status/788803700286291969,314,1342,4322,BarackObama
10/19/16 15:56,"RT @SecBurwell: Today, 20M more Americans have coverage thanks to the #ACA. Our uninsured rate is the lowest in our nations history. Lowes_",https://twitter.com/BarackObama/status/788770735489552385,289,945,2873,BarackObama
10/19/16 15:09,The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q,https://twitter.com/BarackObama/status/788758927617826816,479,2384,7526,BarackObama
10/18/16 20:00,We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate,https://twitter.com/BarackObama/status/788469915527163905,479,1833,4373,BarackObama
10/18/16 18:25,Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate,https://twitter.com/BarackObama/status/788445867900489728,273,685,2791,BarackObama
10/18/16 17:10,"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ",https://twitter.com/BarackObama/status/788426999626731521,456,2014,8122,BarackObama
10/18/16 15:45,This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP,https://twitter.com/BarackObama/status/788405579316277248,233,792,3287,BarackObama
10/17/16 22:14,Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn,https://twitter.com/BarackObama/status/788141079795163136,283,1340,5485,BarackObama
10/17/16 21:07,"Wildfires in the next few decades could be ""unrecognizable"" to previous generationsbecause of climate change: https://t.co/vM3xM6mCf3",https://twitter.com/BarackObama/status/788124404886540288,217,1177,3166,BarackObama
10/17/16 18:46,Senate leaders are blocking the Supreme Court nomination for their own political gaindon't be silent: https://t.co/OMdTVim0TC #DoYourJob,https://twitter.com/BarackObama/status/788088844771926016,309,1367,3775,BarackObama
10/17/16 16:32,"RT @WhiteHouse: ""Nobody should be priced out of a higher education."" @POTUS on the progress we've made: https://t.co/4YohVv7Qea https://t._",https://twitter.com/BarackObama/status/788055101445287936,154,683,1790,BarackObama
